Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Weapons Manufacturing,EOE,Edge of Eternities,311,normal,rare,1,107132,b2c86408-5e19-46ca-a3ce-949eb148acde,1.99,false,false,near_mint,en,EUR
"Haliya, Guided by Light",EOE,Edge of Eternities,19,foil,rare,1,107055,6f7c63ae-5df3-410f-8643-b8c69133ca9d,1.0,false,false,near_mint,en,EUR
Loading Zone,EOE,Edge of Eternities,344,foil,rare,1,107774,d2111f0f-924e-4293-ba1d-15ae31088bb7,7.2,false,false,near_mint,en,EUR
Anticausal Vestige,EOE,Edge of Eternities,357,foil,mythic,1,107122,a8c94ccb-f6af-4a26-b773-624d6ce54330,10.0,false,false,near_mint,ja,EUR
Echoing Deeps,EOS,Edge of Eternities: Stellar Sights,58,normal,rare,1,107457,6f80b450-70fe-4148-a7ce-1463c4c7b28c,3.73,false,false,near_mint,en,EUR
The Seriema,EOE,Edge of Eternities,323,normal,rare,1,106769,9361996c-414b-4d0d-9d94-b6d5fe04e987,2.24,false,false,near_mint,en,EUR
"Xu-Ifit, Osteoharmonist",EOE,Edge of Eternities,294,foil,rare,1,107497,98e7fb9e-44c2-4fa6-8d81-895f909ea9b7,1.74,false,false,near_mint,en,EUR
Lavaclaw Reaches,EOS,Edge of Eternities: Stellar Sights,22,normal,rare,2,107435,5766b7ed-eb92-4c53-a5ad-577b5466ff6f,0.13,false,false,near_mint,en,EUR
Cosmogrand Zenith,EOE,Edge of Eternities,304,foil,mythic,1,107336,d68d891d-333f-46c9-b5a3-3b1d4d3e4563,14.5,false,false,near_mint,en,EUR
Meteor Crater,EOS,Edge of Eternities: Stellar Sights,71,normal,rare,1,107417,4069927a-1d3b-4ded-a012-eec8e7674ba6,4.99,false,false,near_mint,en,EUR
"Susur Secundi, Void Altar",EOE,Edge of Eternities,259,foil,mythic,1,107126,aefb8c0d-2bc6-4bec-851e-0137b4abfb22,7.9,false,false,near_mint,en,EUR
Weapons Manufacturing,EOE,Edge of Eternities,311,foil,rare,1,107132,b2c86408-5e19-46ca-a3ce-949eb148acde,3.8,false,false,near_mint,en,EUR
Thespian's Stage,EOS,Edge of Eternities: Stellar Sights,44,normal,rare,1,107183,dc03cbbf-6157-48ee-9687-c91513a95f18,0.37,false,false,near_mint,en,EUR
Secluded Starforge,EOE,Edge of Eternities,316,foil,rare,1,107488,9024ae78-8a60-4856-9d26-97e3d9310542,0.49,false,false,near_mint,en,EUR
Contested War Zone,EOS,Edge of Eternities: Stellar Sights,8,normal,rare,1,106963,1617ef81-5815-47e1-9532-2af791bbd5b3,0.45,false,false,near_mint,en,EUR
Famished Worldsire,EOE,Edge of Eternities,341,normal,mythic,1,107262,4253d6f1-f568-4419-8b5c-a2e8855057c7,9.69,false,false,near_mint,en,EUR
Icetill Explorer,EOE,Edge of Eternities,362,foil,mythic,1,107481,895e5e9b-84dd-4741-8a2c-442165ea9b15,26.99,false,false,near_mint,en,EUR
Cathedral of War,EOS,Edge of Eternities: Stellar Sights,6,normal,rare,1,107556,d6ca2f32-dd29-4fd5-9d36-253209230ebd,0.48,false,false,near_mint,en,EUR
Elegy Acolyte,EOE,Edge of Eternities,293,normal,rare,1,107219,ffa43efe-15ea-4c38-ab4a-764baa084e44,0.74,false,false,near_mint,en,EUR
Space-Time Anomaly,EOE,Edge of Eternities,229,foil,rare,1,107575,edb8dc2a-ddce-48fa-b57e-0e57c87c6671,0.7,false,false,near_mint,en,EUR
Swarmyard,EOS,Edge of Eternities: Stellar Sights,87,normal,rare,1,107577,ef2082bd-eab7-4fe7-9b54-b9c3cc85405e,7.4,false,false,near_mint,en,EUR
"Alpharael, Stonechosen",EOE,Edge of Eternities,292,normal,mythic,1,107331,cabf4bdb-160a-4d0e-aa07-87bb74aef34a,4.89,false,false,near_mint,en,EUR
Frenzied Baloth,EOE,Edge of Eternities,342,foil,rare,1,107182,dbd6cfbd-1cb7-4b15-9d03-f07b3a874e2d,10.0,false,false,near_mint,en,EUR
Reflecting Pool,EOS,Edge of Eternities: Stellar Sights,36,foil,mythic,1,107253,2b4e8ad6-7a60-43d6-a402-c91284993c14,12.59,false,false,near_mint,en,EUR
Stomping Ground,EOE,Edge of Eternities,258,foil,rare,1,106763,69be21b4-c613-47c6-ba57-f4785861af3e,7.95,false,false,near_mint,en,EUR
Stomping Ground,EOE,Edge of Eternities,283,foil,rare,1,107211,f802db1f-6533-4118-b677-562bfb135904,15.0,false,false,near_mint,en,EUR
Meteor Crater,EOS,Edge of Eternities: Stellar Sights,71,foil,rare,1,107417,4069927a-1d3b-4ded-a012-eec8e7674ba6,6.95,false,false,near_mint,en,EUR
Breeding Pool,EOE,Edge of Eternities,278,normal,rare,2,106968,1c575871-9b46-4cd4-8596-54dc04f76456,8.25,false,false,near_mint,en,EUR
Mutinous Massacre,EOE,Edge of Eternities,314,foil,rare,1,107137,b4bdb1ac-abe2-4ce7-84cb-eb53196b4b01,1.0,false,false,near_mint,en,EUR
"Tezzeret, Cruel Captain",EOE,Edge of Eternities,2,foil,mythic,1,106752,02e8e540-8aa3-4e6a-9a11-c3949cab5f0f,27.49,false,false,near_mint,en,EUR
Green Sun's Zenith,SPG,Special Guests,127,foil,mythic,1,107518,b090cb9e-fcdd-4fc2-8e5d-b63511f83a13,60.0,false,false,near_mint,en,EUR
Blast Zone,EOS,Edge of Eternities: Stellar Sights,47,normal,rare,1,107764,bea9fa70-62d4-4afb-9317-8ee24914ffbd,1.46,false,false,near_mint,en,EUR
"Syr Vondam, Sunstar Exemplar",EOE,Edge of Eternities,231,foil,rare,1,107424,49554198-549b-4066-86ce-77a03fda0a2f,1.1,false,false,near_mint,en,EUR
Genemorph Imago,EOE,Edge of Eternities,299,foil,rare,1,106996,37c2ab54-e856-41d5-86ba-c6a7d2774546,0.5,false,false,near_mint,en,EUR
Lightstall Inquisitor,EOE,Edge of Eternities,24,foil,rare,1,107447,635245e9-c27f-4a51-a6f1-bae62e696542,1.0,false,false,near_mint,en,EUR
Mightform Harmonizer,EOE,Edge of Eternities,200,foil,rare,2,107352,f32302f1-b54f-4489-9d0b-9b771e59da06,0.33,false,false,near_mint,en,EUR
Beyond the Quiet,EOE,Edge of Eternities,303,foil,rare,1,107387,215f488b-6d33-4b08-88ff-b258c00515d6,2.4,false,false,near_mint,en,EUR
Mirrorpool,EOS,Edge of Eternities: Stellar Sights,27,foil,mythic,1,107576,eebffbb3-5421-40e4-af92-999d8eb504f4,4.99,false,false,near_mint,en,EUR
Starwinder,EOE,Edge of Eternities,79,foil,rare,2,107391,27d1a010-5790-4b35-9fdc-0e366eed021d,0.49,false,false,near_mint,en,EUR
Watery Grave,EOE,Edge of Eternities,381,foil,rare,1,107176,d854480d-a163-422b-a3dc-54dffd7b3eab,77.0,false,false,near_mint,en,EUR
Mutavault,EOS,Edge of Eternities: Stellar Sights,163,foil,mythic,1,106777,3cfe344d-45e0-451b-8743-e4da125fdc24,75.0,false,false,near_mint,en,EUR
Plains,EOE,Edge of Eternities,367,foil,common,6,106787,926aad15-87a8-4510-b327-d1648f89c497,2.99,false,false,near_mint,en,EUR
Island,EOE,Edge of Eternities,368,foil,common,2,106785,81368899-5fef-4f10-80ea-b282eca0f42f,3.99,false,false,near_mint,en,EUR
Swamp,EOE,Edge of Eternities,369,foil,common,2,106788,b938ac10-bd0f-4ce3-a743-958d5beadf58,2.5,false,false,near_mint,en,EUR
Mountain,EOE,Edge of Eternities,370,foil,common,6,106782,6b092822-f34f-4384-9d0a-23d863d27231,3.99,false,false,near_mint,en,EUR
